date,open,high,low,close,volume,name,company,year,month,day,day_of_week,ma_7,ma_30,daily_return,next_day_close
2013-02-08 00:00:00,38.31,39.45,38.145,39.12,5104545,ADBE,ADOBE,2013,2,8,4,38.8142857142857,40.1966666666667,-0.0122699386503067,38.64
2013-02-11 00:00:00,38.99,39.05,38.534,38.64,2333712,ADBE,ADOBE,2013,2,11,0,38.8142857142857,40.1966666666667,-0.0122699386503067,38.89
2013-02-12 00:00:00,38.55,39.13,38.12,38.89,3279424,ADBE,ADOBE,2013,2,12,1,38.8142857142857,40.1966666666667,0.0064699792960663,38.81
2013-02-13 00:00:00,38.9,39.15,38.67,38.81,2490936,ADBE,ADOBE,2013,2,13,2,38.8142857142857,40.1966666666667,-0.00205708408331184,38.61
2013-02-14 00:00:00,38.7,38.92,38.301,38.61,4929645,ADBE,ADOBE,2013,2,14,3,38.8142857142857,40.1966666666667,-0.00515331100231908,38.635
2013-02-15 00:00:00,38.51,38.76,38.38,38.635,2367880,ADBE,ADOBE,2013,2,15,4,38.8142857142857,40.1966666666667,0.000647500647500632,38.995
2013-02-19 00:00:00,38.58,39,38.52,38.995,2056485,ADBE,ADOBE,2013,2,19,1,38.8142857142857,40.1966666666667,0.00931797592856221,38.77
2013-02-20 00:00:00,39.04,39.28,38.75,38.77,3129578,ADBE,ADOBE,2013,2,20,2,38.7642857142857,40.1966666666667,-0.00576997050903949,38.34
2013-02-21 00:00:00,38.82,38.82,38.3,38.34,2872613,ADBE,ADOBE,2013,2,21,3,38.7214285714286,40.1966666666667,-0.0110910497807583,38.55
2013-02-22 00:00:00,38.54,38.87,38.37,38.55,2835481,ADBE,ADOBE,2013,2,22,4,38.6728571428571,40.1966666666667,0.00547730829420945,38.11
2013-02-25 00:00:00,38.66,39.085,38.1,38.11,2738642,ADBE,ADOBE,2013,2,25,0,38.5728571428571,40.1966666666667,-0.0114137483787289,38.59
2013-02-26 00:00:00,38.14,38.66,38.09,38.59,2924950,ADBE,ADOBE,2013,2,26,1,38.57,40.1966666666667,0.0125951193912359,39.6
2013-02-27 00:00:00,38.32,39.75,38.1,39.6,5285247,ADBE,ADOBE,2013,2,27,2,38.7078571428572,40.1966666666667,0.0261725835708733,39.31
2013-02-28 00:00:00,39.54,39.935,39.29,39.31,3637596,ADBE,ADOBE,2013,2,28,3,38.7528571428572,40.1966666666667,-0.00732323232323229,39.83
2013-03-01 00:00:00,39.3,39.88,38.96,39.83,2328199,ADBE,ADOBE,2013,3,1,4,38.9042857142857,40.1966666666667,0.0132281862121597,40.46
2013-03-04 00:00:00,39.74,40.47,39.45,40.46,2423523,ADBE,ADOBE,2013,3,4,0,39.2071428571429,40.1966666666667,0.015817223198594,41.46
2013-03-05 00:00:00,40.76,41.49,40.68,41.46,4236512,ADBE,ADOBE,2013,3,5,1,39.6228571428571,40.1966666666667,0.0247157686604054,41.29
2013-03-06 00:00:00,41.47,41.77,41.13,41.29,2835525,ADBE,ADOBE,2013,3,6,2,40.0771428571429,40.1966666666667,-0.00410033767486739,41.5
2013-03-07 00:00:00,41.4,41.59,41.2,41.5,2678444,ADBE,ADOBE,2013,3,7,3,40.4928571428571,40.1966666666667,0.00508597723419713,41.5
2013-03-08 00:00:00,41.75,41.91,41.32,41.5,3330208,ADBE,ADOBE,2013,3,8,4,40.7642857142857,40.1966666666667,0,41.48
2013-03-11 00:00:00,41.12,41.54,40.96,41.48,4632354,ADBE,ADOBE,2013,3,11,0,41.0742857142857,40.1966666666667,-0.000481927710843433,41.4
2013-03-12 00:00:00,41.53,41.53,41.1521,41.4,3454744,ADBE,ADOBE,2013,3,12,1,41.2985714285714,40.1966666666667,-0.00192864030858242,41.59
2013-03-13 00:00:00,41.5,41.81,41.3,41.59,2892454,ADBE,ADOBE,2013,3,13,2,41.46,40.1966666666667,0.00458937198067644,41.62
2013-03-14 00:00:00,41.82,41.93,41.44,41.62,2762856,ADBE,ADOBE,2013,3,14,3,41.4828571428571,40.1966666666667,0.000721327242125369,41.38
2013-03-15 00:00:00,41.45,41.79,41.32,41.38,5424159,ADBE,ADOBE,2013,3,15,4,41.4957142857143,40.1966666666667,-0.00576645843344537,41.06
2013-03-18 00:00:00,41.08,41.48,40.21,41.06,3311229,ADBE,ADOBE,2013,3,18,0,41.4328571428571,40.1966666666667,-0.00773320444659253,40.75
2013-03-19 00:00:00,41.1,41.37,40.49,40.75,4715656,ADBE,ADOBE,2013,3,19,1,41.3257142857143,40.1966666666667,-0.00754992693619094,42.46
2013-03-20 00:00:00,42.7,43.23,41.995,42.46,10733242,ADBE,ADOBE,2013,3,20,2,41.4657142857143,40.1966666666667,0.0419631901840492,42.18
2013-03-21 00:00:00,41.99,42.63,41.9,42.18,5659354,ADBE,ADOBE,2013,3,21,3,41.5771428571429,40.1966666666667,-0.00659444182760249,42.97
2013-03-22 00:00:00,42.17,43.23,42.11,42.97,5595189,ADBE,ADOBE,2013,3,22,4,41.7742857142857,40.1966666666667,0.0187292555713607,42.49
2013-03-25 00:00:00,42.9,43.42,42.41,42.49,5221560,ADBE,ADOBE,2013,3,25,0,41.8985714285714,40.309,-0.0111705841284616,42.75
2013-03-26 00:00:00,42.66,42.95,42.4565,42.75,2125366,ADBE,ADOBE,2013,3,26,1,42.0942857142857,40.446,0.00611908684396334,42.66
2013-03-27 00:00:00,42.6,42.885,42.38,42.66,1706931,ADBE,ADOBE,2013,3,27,2,42.3228571428571,40.5716666666667,-0.00210526315789483,43.515
2013-03-28 00:00:00,42.54,43.59,42.42,43.515,4075185,ADBE,ADOBE,2013,3,28,3,42.7178571428572,40.7285,0.020042194092827,43.38
2013-04-01 00:00:00,43.36,43.78,43.23,43.38,3397904,ADBE,ADOBE,2013,4,1,0,42.8492857142857,40.8875,-0.00310237849017581,43.845
2013-04-02 00:00:00,43.5,43.89,43.36,43.845,3371517,ADBE,ADOBE,2013,4,2,1,43.0871428571429,41.0611666666667,0.0107192254495159,43.7
